Centro,Nombre científico (especie),Código del arbol,Area basal de arbol (dm²),Diametro de tronco equivalente (cm),Altura de arbol normalizada (m),Altura de copa normalizada (m),Diametro de copa promedio (m),Excentricidad de copa,Volumen de copa (m³),Biomasa (kg),Carbono almacenado (kg),Dióxido de carbono capturado (kg)
CULAGOS,Arecastrum romanzoffianum,C13-5-53,0.52,8.1,1.6,0.7,1.8,0.60,0.4,0.19026754,0.09513377,0.349140937
CULAGOS,Arecastrum romanzoffianum,C13-5-54,0.58,8.6,2.1,1.1,2.5,0.28,1.3,0.360655039,0.18032752,0.661801997
CULAGOS,Arecastrum romanzoffianum,C13-5-55,2.01,16.0,2.7,1.6,2.8,0.36,2.5,1.914626875,0.957313437,3.513340316
CULAGOS,Arecastrum romanzoffianum,C13-5-56,2.99,19.5,4.0,2.5,3.5,0.24,5.8,6.15419318,3.07709659,11.29294449
CUSUR,Arecastrum romanzoffianum,C12-5-215,4.71,24.5,11.0,6.6,7.6,0.74,71.9,80.59161393,40.29580697,147.8856116
CUSUR,Arecastrum romanzoffianum,C12-5-243,4.15,23.0,8.0,4.4,6.6,0.59,37.5,36.80881083,18.40440541,67.54416787
CUSUR,Arecastrum romanzoffianum,C12-5-244,4.34,23.5,9.7,5.2,6.2,0.35,39.4,56.68930591,28.34465295,104.0248763
CUSUR,Arecastrum romanzoffianum,C12-5-378,4.83,24.8,6.5,3.7,5.6,0.53,22.2,26.95547339,13.47773669,49.46329366
CUSUR,Arecastrum romanzoffianum,C12-5-415,1.61,14.3,3.2,1.3,2.0,0.78,1.0,2.19974081,1.099870405,4.036524387
CUSUR,Arecastrum romanzoffianum,C12-5-416,0.54,8.3,2.7,1.1,2.1,0.30,0.9,0.605040988,0.302520494,1.110250212
CUSUR,Arecastrum romanzoffianum,C12-5-417,1.77,15.0,4.6,2.4,3.0,0.43,4.1,5.29205935,2.646029675,9.710928907
CUSUR,Arecastrum romanzoffianum,C12-5-418,2.06,16.2,3.6,2.0,2.6,0.65,2.5,3.581027036,1.790513518,6.571184611
CUSUR,Arecastrum romanzoffianum,C12-5-419,0.55,8.4,2.9,1.5,2.5,0.81,1.6,0.704982783,0.352491391,1.293643406
CUSUR,Arecastrum romanzoffianum,C12-5-420,1.04,11.5,3.7,1.4,3.0,0.78,2.4,2.027522347,1.013761174,3.720503507
CUSUR,Arecastrum romanzoffianum,C12-5-421,1.27,12.7,3.1,1.9,2.9,0.49,3.2,1.720030528,0.860015264,3.15625602
CUSUR,Arecastrum romanzoffianum,C12-5-422,0.87,10.5,4.1,2.2,3.8,0.81,5.9,2.206778623,1.103389311,4.049438773
CUSUR,Arecastrum romanzoffianum,C12-5-423,3.24,20.3,4.2,3.0,3.1,0.61,5.4,7.43615039,3.718075195,13.64533597
CUSUR,Arecastrum romanzoffianum,C12-5-425,2.19,16.7,4.7,2.8,3.3,0.76,5.7,6.596973107,3.298486553,12.10544565
CUSUR,Arecastrum romanzoffianum,C12-5-427,5.43,26.3,4.9,3.0,3.8,0.38,8.3,16.04257994,8.021289968,29.43813418
CUSUR,Arecastrum romanzoffianum,C12-5-428,2.60,18.2,3.9,3.2,2.5,0.75,3.7,5.017623245,2.508811622,9.207338655
CUSUR,Arecastrum romanzoffianum,C12-5-429,2.84,19.0,4.1,2.5,3.4,0.24,5.5,6.198161159,3.09908058,11.37362573
CUSUR,Arecastrum romanzoffianum,C12-5-430,3.37,20.7,4.4,2.8,3.7,0.53,7.5,8.443514336,4.221757168,15.49384881
CUSUR,Arecastrum romanzoffianum,C12-5-431,4.01,22.6,4.2,2.5,3.1,0.61,4.4,8.976485138,4.488242569,16.47185023
CUSUR,Arecastrum romanzoffianum,C12-5-433,1.47,13.7,3.9,1.9,3.4,0.41,4.1,3.04888265,1.524441325,5.594699662
CUSUR,Bucida buceras,C12-5-273,0.50,8.0,3.7,2.9,2.1,0.42,2.5,6.688827344,3.344413672,12.27399818
CUSUR,Bucida buceras,C12-5-400,1.33,13.0,6.6,5.2,5.4,0.45,29.5,29.45463432,14.72731716,54.04925398
CUSUR,Bucida buceras,C12-5-401,1.23,12.5,6.6,5.1,5.7,0.19,31.9,27.29706319,13.6485316,50.09011096
CUSUR,Bucida buceras,C12-5-402,1.35,13.1,7.6,6.4,6.4,0.45,50.5,34.23391442,17.11695721,62.81923297
CUSUR,Bucida buceras,C12-5-403,0.50,8.0,3.7,2.5,3.7,0.57,6.4,6.75021447,3.375107235,12.38664355
CUSUR,Bucida buceras,C12-5-404,0.82,10.2,6.1,4.8,3.7,0.49,12.4,17.22697097,8.613485484,31.61149173
CUSUR,Bucida buceras,C12-5-405,1.81,15.2,6.8,5.5,6.4,0.30,43.9,40.8800499,20.44002495,75.01489156
CUSUR,Bucida buceras,C12-5-406,1.00,11.3,4.8,3.7,4.6,0.29,15.2,16.71361451,8.356807257,30.66948263
CUSUR,Bucida buceras,C12-5-407,0.50,8.0,3.6,3.1,4.3,0.36,11.0,6.581030173,3.290515087,12.07619037
CUSUR,Bucida buceras,C12-5-408,0.55,8.4,4.5,3.3,4.5,0.52,12.9,8.88797982,4.44398991,16.30944297
CUSUR,Bucida buceras,C12-5-409,0.55,8.4,4.8,3.4,4.0,0.67,10.5,9.512291149,4.756145575,17.45505426
CUSUR,Bucida buceras,C12-5-410,1.23,12.5,4.6,3.2,5.6,0.19,19.4,19.41754094,9.708770472,35.63118763
CULAGOS,Casuarina equisetifolia,C13-5-11,10.87,37.2,14.8,9.3,5.2,0.67,47.4,595.0721878,297.5360939,1091.957465
CULAGOS,Casuarina equisetifolia,C13-5-18,7.53,31.0,5.3,4.6,5.1,0.73,22.0,149.489202,74.74460099,274.3126856
