Especie,Formula
"Arecastrum romanzoffianum","exp(-6.3789-0.877*log(1/(DAP^2))+2.151*log(H))"
"Bucida buceras","(0.85/0.65)*exp(-3.282+0.95*log((DAP^2)*H))"
"Casuarina equisetifolia","2.161506+0.028892*(DAP^2)*H"
"Citrus × aurantiifolia","exp(-3.282+0.95*log((DAP^2)*H))"
"Citrus aurantium","exp(-3.282+0.95*log((DAP^2)*H))"
"Citrus reticulata","exp(-3.282+0.95*log((DAP^2)*H))"
"Cupressus lusitanica","(0.39/0.54)*430*(0.0344+0.00003*(DAP^2)*H)"
"Cupressus sempervirens","430*(0.0344+0.00003*(DAP^2)*H)"
"Dypsis lutescens","exp(-6.3789-0.877*log(1/(DAP^2))+2.151*log(H))"
"Eriobotrya japonica","exp(-3.282+0.95*log((DAP^2)*H))"
"Eucalyptus camaldulensis","10.736+0.023*(DAP^2)*H"
"Ficus benjamina","0.0421*(((DAP^2)*H)^0.944)"
"Ficus benjamina f. variegata","0.0421*(((DAP^2)*H)^0.944)"
"Ficus microcarpa","0.0421*(((DAP^2)*H)^0.944)"
"Fraxinus uhdei","0.317*(DAP ^ (1.801))*(0.46^0.375)*(H^0.4)"
"Grevillea robusta","exp(-3.282+0.95*log((DAP^2)*H))"
"Hibiscus tiliaceus","exp(-3.282+0.95*log((DAP^2)*H))"
"Jacaranda mimosifolia","1000*exp(-5.332+1.248*log((DAP))+0.303*log((H)))"
"Ligustrum lucidum","exp(-3.282+0.95*log((DAP^2)*H))"
"Liquidambar styraciflua","(0.47/0.65)*exp(-3.282+0.95*log((DAP^2)*H))"
"Magnolia grandiflora","exp(-3.282+0.95*log((DAP^2)*H))"
"Mangifera indica","exp(-3.282+0.95*log((DAP^2)*H))"
"Melia azedarach","exp(-3.282+0.95*log((DAP^2)*H))"
"Morus alba","exp(-3.282+0.95*log((DAP^2)*H))"
"Persea americana","exp(-3.282+0.95*log((DAP^2)*H))"
"Phoenix roebelenii","exp(-6.3789-0.877*log(1/(DAP^2))+2.151*log(H))"
"Pinus devoniana","(0.455/0.54)*2*0.0192922*(((DAP^2)*H)^0.9392)"
"Pinus herrerae","2*0.0192922*(((DAP^2)*H)^0.9392)"
"Plumeria rubra","exp(-3.282+0.95*log((DAP^2)*H))"
"Populus tremuloides","exp(-3.282+0.95*log((DAP^2)*H))"
"Prunus persica","exp(-3.282+0.95*log((DAP^2)*H))"
"Psidium cattleianum","exp(-3.282+0.95*log((DAP^2)*H))"
"Psidium guajava","exp(-3.282+0.95*log((DAP^2)*H))"
"Psidium sartorianum","exp(-3.282+0.95*log((DAP^2)*H))"
"Punica granatum","exp(-3.282+0.95*log((DAP^2)*H))"
"Roystonea oleracea","exp(-6.3789-0.877*log(1/(DAP^2))+2.151*log(H))"
"Schefflera actinophylla","exp(-3.282+0.95*log((DAP^2)*H))"
"Schinus terebinthifolia","exp(-3.282+0.95*log((DAP^2)*H))"
"Spathodea campanulata","(0.34/0.65)*exp(-3.282+0.95*log((DAP^2)*H))"
"Tabebuia donnell-smithii","(0.39/0.65)*exp(-3.282+0.95*log((DAP^2)*H))"
"Tabebuia rosea","exp(-3.282+0.95*log((DAP^2)*H))"
"Washingtonia filifera","exp(-6.3789-0.877*log(1/(DAP^2))+2.151*log(H))"
"Washingtonia robusta","exp(-6.3789-0.877*log(1/(DAP^2))+2.151*log(H))"
"Yucca aloifolia","exp(-6.3789-0.877*log(1/(DAP^2))+2.151*log(H))"
